index,date_of_interest,FIPS,node_key,CASE_COUNT,CASE_COUNT_7DAY_AVG,CASE_DELTA,CASE_COUNT_PREV_0,CASE_COUNT_PREV_1,CASE_COUNT_PREV_2,CASE_COUNT_PREV_3,CASE_COUNT_PREV_4,CASE_COUNT_PREV_5
1,2020-02-29,36005,36005-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-02-29,36047,36047-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-29,36061,36061-2020-02-29,1,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-29,36081,36081-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-29,36085,36085-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-01,36005,36005-2020-03-01,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,36047,36047-2020-03-01,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-01,36061,36061-2020-03-01,0,0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-01,36081,36081-2020-03-01,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-01,36085,36085-2020-03-01,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-02,36005,36005-2020-03-02,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-02,36047,36047-2020-03-02,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-02,36061,36061-2020-03-02,0,0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-02,36081,36081-2020-03-02,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-02,36085,36085-2020-03-02,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-03,36005,36005-2020-03-03,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-03,36047,36047-2020-03-03,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-03,36061,36061-2020-03-03,0,0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,2020-03-03,36081,36081-2020-03-03,1,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-03,36085,36085-2020-03-03,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-04,36005,36005-2020-03-04,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-04,36047,36047-2020-03-04,1,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-04,36061,36061-2020-03-04,2,0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,2020-03-04,36081,36081-2020-03-04,2,0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,2020-03-04,36085,36085-2020-03-04,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-03-05,36005,36005-2020-03-05,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-03-05,36047,36047-2020-03-05,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
27,2020-03-05,36061,36061-2020-03-05,0,0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
28,2020-03-05,36081,36081-2020-03-05,0,0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
29,2020-03-05,36085,36085-2020-03-05,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-03-06,36005,36005-2020-03-06,2,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-03-06,36047,36047-2020-03-06,1,1,-0.0,3.0,1.0,0.0,0.0,0.0,0.0
32,2020-03-06,36061,36061-2020-03-06,3,1,-0.0,0.0,2.0,0.0,0.0,0.0,1.0
33,2020-03-06,36081,36081-2020-03-06,1,1,-0.0,0.0,2.0,1.0,0.0,0.0,0.0
34,2020-03-06,36085,36085-2020-03-06,1,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-03-07,36005,36005-2020-03-07,0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
35,2020-03-07,36047,36047-2020-03-07,2,1,1.0,1.0,3.0,1.0,0.0,0.0,0.0
37,2020-03-07,36061,36061-2020-03-07,1,1,1.0,3.0,0.0,2.0,0.0,0.0,0.0
38,2020-03-07,36081,36081-2020-03-07,3,1,1.0,1.0,0.0,2.0,1.0,0.0,0.0
39,2020-03-07,36085,36085-2020-03-07,1,0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,2020-03-08,36005,36005-2020-03-08,3,1,-0.0,0.0,2.0,0.0,0.0,0.0,0.0
40,2020-03-08,36047,36047-2020-03-08,5,2,2.0,2.0,1.0,3.0,1.0,0.0,0.0
42,2020-03-08,36061,36061-2020-03-08,6,2,3.0,1.0,3.0,0.0,2.0,0.0,0.0
43,2020-03-08,36081,36081-2020-03-08,6,2,1.0,3.0,1.0,0.0,2.0,1.0,0.0
44,2020-03-08,36085,36085-2020-03-08,1,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
46,2020-03-09,36005,36005-2020-03-09,4,1,1.0,3.0,0.0,2.0,0.0,0.0,0.0
45,2020-03-09,36047,36047-2020-03-09,16,4,2.0,5.0,2.0,1.0,3.0,1.0,0.0
47,2020-03-09,36061,36061-2020-03-09,24,5,4.0,6.0,1.0,3.0,0.0,2.0,0.0
48,2020-03-09,36081,36081-2020-03-09,10,3,4.0,6.0,3.0,1.0,0.0,2.0,1.0
49,2020-03-09,36085,36085-2020-03-09,3,1,-0.0,1.0,1.0,1.0,0.0,0.0,0.0
51,2020-03-10,36005,36005-2020-03-10,8,2,3.0,4.0,3.0,0.0,2.0,0.0,0.0
50,2020-03-10,36047,36047-2020-03-10,11,6,4.0,16.0,5.0,2.0,1.0,3.0,1.0
52,2020-03-10,36061,36061-2020-03-10,24,9,8.0,24.0,6.0,1.0,3.0,0.0,2.0
53,2020-03-10,36081,36081-2020-03-10,24,7,5.0,10.0,6.0,3.0,1.0,0.0,2.0
54,2020-03-10,36085,36085-2020-03-10,2,1,1.0,3.0,1.0,1.0,1.0,0.0,0.0
56,2020-03-11,36005,36005-2020-03-11,19,5,4.0,8.0,4.0,3.0,0.0,2.0,0.0
55,2020-03-11,36047,36047-2020-03-11,31,10,13.0,11.0,16.0,5.0,2.0,1.0,3.0
57,2020-03-11,36061,36061-2020-03-11,62,17,20.0,24.0,24.0,6.0,1.0,3.0,0.0
58,2020-03-11,36081,36081-2020-03-11,40,12,11.0,24.0,10.0,6.0,3.0,1.0,0.0
59,2020-03-11,36085,36085-2020-03-11,3,2,1.0,2.0,3.0,1.0,1.0,1.0,0.0
61,2020-03-12,36005,36005-2020-03-12,29,9,11.0,19.0,8.0,4.0,3.0,0.0,2.0
60,2020-03-12,36047,36047-2020-03-12,96,23,24.0,31.0,11.0,16.0,5.0,2.0,1.0
62,2020-03-12,36061,36061-2020-03-12,137,37,25.0,62.0,24.0,24.0,6.0,1.0,3.0
63,2020-03-12,36081,36081-2020-03-12,80,23,24.0,40.0,24.0,10.0,6.0,3.0,1.0
64,2020-03-12,36085,36085-2020-03-12,13,3,4.0,3.0,2.0,3.0,1.0,1.0,1.0
66,2020-03-13,36005,36005-2020-03-13,79,20,13.0,29.0,19.0,8.0,4.0,3.0,0.0
65,2020-03-13,36047,36047-2020-03-13,166,47,23.0,96.0,31.0,11.0,16.0,5.0,2.0
67,2020-03-13,36061,36061-2020-03-13,182,62,25.0,137.0,62.0,24.0,24.0,6.0,1.0
68,2020-03-13,36081,36081-2020-03-13,166,47,27.0,80.0,40.0,24.0,10.0,6.0,3.0
69,2020-03-13,36085,36085-2020-03-13,26,7,3.0,13.0,3.0,2.0,3.0,1.0,1.0
71,2020-03-14,36005,36005-2020-03-14,86,33,16.0,79.0,29.0,19.0,8.0,4.0,3.0
70,2020-03-14,36047,36047-2020-03-14,163,70,61.0,166.0,96.0,31.0,11.0,16.0,5.0
72,2020-03-14,36061,36061-2020-03-14,176,87,29.0,182.0,137.0,62.0,24.0,24.0,6.0
73,2020-03-14,36081,36081-2020-03-14,194,74,32.0,166.0,80.0,40.0,24.0,10.0,6.0
74,2020-03-14,36085,36085-2020-03-14,23,10,7.0,26.0,13.0,3.0,2.0,3.0,1.0
76,2020-03-15,36005,36005-2020-03-15,119,49,43.0,86.0,79.0,29.0,19.0,8.0,4.0
75,2020-03-15,36047,36047-2020-03-15,432,131,103.0,163.0,166.0,96.0,31.0,11.0,16.0
77,2020-03-15,36061,36061-2020-03-15,205,116,62.0,176.0,182.0,137.0,62.0,24.0,24.0
78,2020-03-15,36081,36081-2020-03-15,231,106,74.0,194.0,166.0,80.0,40.0,24.0,10.0
79,2020-03-15,36085,36085-2020-03-15,47,17,12.0,23.0,26.0,13.0,3.0,2.0,3.0
81,2020-03-16,36005,36005-2020-03-16,305,92,48.0,119.0,86.0,79.0,29.0,19.0,8.0
80,2020-03-16,36047,36047-2020-03-16,740,234,110.0,432.0,163.0,166.0,96.0,31.0,11.0
82,2020-03-16,36061,36061-2020-03-16,457,178,77.0,205.0,176.0,182.0,137.0,62.0,24.0
83,2020-03-16,36081,36081-2020-03-16,528,180,90.0,231.0,194.0,166.0,80.0,40.0,24.0
84,2020-03-16,36085,36085-2020-03-16,91,29,15.0,47.0,23.0,26.0,13.0,3.0,2.0
86,2020-03-17,36005,36005-2020-03-17,343,140,66.0,305.0,119.0,86.0,79.0,29.0,19.0
85,2020-03-17,36047,36047-2020-03-17,783,344,134.0,740.0,432.0,163.0,166.0,96.0,31.0
87,2020-03-17,36061,36061-2020-03-17,567,255,68.0,457.0,205.0,176.0,182.0,137.0,62.0
88,2020-03-17,36081,36081-2020-03-17,650,270,113.0,528.0,231.0,194.0,166.0,80.0,40.0
89,2020-03-17,36085,36085-2020-03-17,108,44,21.0,91.0,47.0,23.0,26.0,13.0,3.0
91,2020-03-18,36005,36005-2020-03-18,482,206,85.0,343.0,305.0,119.0,86.0,79.0,29.0
90,2020-03-18,36047,36047-2020-03-18,965,478,158.0,783.0,740.0,432.0,163.0,166.0,96.0
92,2020-03-18,36061,36061-2020-03-18,538,323,60.0,567.0,457.0,205.0,176.0,182.0,137.0
93,2020-03-18,36081,36081-2020-03-18,835,383,141.0,650.0,528.0,231.0,194.0,166.0,80.0
94,2020-03-18,36085,36085-2020-03-18,150,65,35.0,108.0,91.0,47.0,23.0,26.0,13.0
96,2020-03-19,36005,36005-2020-03-19,623,291,92.0,482.0,343.0,305.0,119.0,86.0,79.0
95,2020-03-19,36047,36047-2020-03-19,1204,636,139.0,965.0,783.0,740.0,432.0,163.0,166.0
97,2020-03-19,36061,36061-2020-03-19,555,383,67.0,538.0,567.0,457.0,205.0,176.0,182.0
98,2020-03-19,36081,36081-2020-03-19,1065,524,146.0,835.0,650.0,528.0,231.0,194.0,166.0
99,2020-03-19,36085,36085-2020-03-19,258,100,41.0,150.0,108.0,91.0,47.0,23.0,26.0
101,2020-03-20,36005,36005-2020-03-20,723,383,58.0,623.0,482.0,343.0,305.0,119.0,86.0
100,2020-03-20,36047,36047-2020-03-20,1136,775,56.0,1204.0,965.0,783.0,740.0,432.0,163.0
102,2020-03-20,36061,36061-2020-03-20,653,450,32.0,555.0,538.0,567.0,457.0,205.0,176.0
103,2020-03-20,36081,36081-2020-03-20,1185,670,107.0,1065.0,835.0,650.0,528.0,231.0,194.0
104,2020-03-20,36085,36085-2020-03-20,310,141,32.0,258.0,150.0,108.0,91.0,47.0,23.0
106,2020-03-21,36005,36005-2020-03-21,491,441,54.0,723.0,623.0,482.0,343.0,305.0,119.0
105,2020-03-21,36047,36047-2020-03-21,554,831,46.0,1136.0,1204.0,965.0,783.0,740.0,432.0
107,2020-03-21,36061,36061-2020-03-21,399,482,16.0,653.0,555.0,538.0,567.0,457.0,205.0
108,2020-03-21,36081,36081-2020-03-21,947,777,67.0,1185.0,1065.0,835.0,650.0,528.0,231.0
109,2020-03-21,36085,36085-2020-03-21,248,173,39.0,310.0,258.0,150.0,108.0,91.0,47.0
111,2020-03-22,36005,36005-2020-03-22,495,495,60.0,491.0,723.0,623.0,482.0,343.0,305.0
110,2020-03-22,36047,36047-2020-03-22,755,877,24.0,554.0,1136.0,1204.0,965.0,783.0,740.0
112,2020-03-22,36061,36061-2020-03-22,317,498,10.0,399.0,653.0,555.0,538.0,567.0,457.0
113,2020-03-22,36081,36081-2020-03-22,696,844,95.0,947.0,1185.0,1065.0,835.0,650.0,528.0
114,2020-03-22,36085,36085-2020-03-22,317,212,17.0,248.0,310.0,258.0,150.0,108.0,91.0
116,2020-03-23,36005,36005-2020-03-23,730,555,84.0,495.0,491.0,723.0,623.0,482.0,343.0
115,2020-03-23,36047,36047-2020-03-23,909,901,61.0,755.0,554.0,1136.0,1204.0,965.0,783.0
117,2020-03-23,36061,36061-2020-03-23,530,508,8.0,317.0,399.0,653.0,555.0,538.0,567.0
118,2020-03-23,36081,36081-2020-03-23,1192,939,105.0,696.0,947.0,1185.0,1065.0,835.0,650.0
119,2020-03-23,36085,36085-2020-03-23,209,229,34.0,317.0,248.0,310.0,258.0,150.0,108.0
121,2020-03-24,36005,36005-2020-03-24,927,639,83.0,730.0,495.0,491.0,723.0,623.0,482.0
120,2020-03-24,36047,36047-2020-03-24,1212,962,42.0,909.0,755.0,554.0,1136.0,1204.0,965.0
122,2020-03-24,36061,36061-2020-03-24,619,516,7.0,530.0,317.0,399.0,653.0,555.0,538.0
123,2020-03-24,36081,36081-2020-03-24,1389,1044,105.0,1192.0,696.0,947.0,1185.0,1065.0,835.0
124,2020-03-24,36085,36085-2020-03-24,350,263,35.0,209.0,317.0,248.0,310.0,258.0,150.0
126,2020-03-25,36005,36005-2020-03-25,1068,722,54.0,927.0,730.0,495.0,491.0,723.0,623.0
125,2020-03-25,36047,36047-2020-03-25,1255,1004,24.0,1212.0,909.0,755.0,554.0,1136.0,1204.0
127,2020-03-25,36061,36061-2020-03-25,586,523,10.0,619.0,530.0,317.0,399.0,653.0,555.0
128,2020-03-25,36081,36081-2020-03-25,1570,1149,83.0,1389.0,1192.0,696.0,947.0,1185.0,1065.0
129,2020-03-25,36085,36085-2020-03-25,394,298,21.0,350.0,209.0,317.0,248.0,310.0,258.0
131,2020-03-26,36005,36005-2020-03-26,998,776,52.0,1068.0,927.0,730.0,495.0,491.0,723.0
130,2020-03-26,36047,36047-2020-03-26,1372,1028,41.0,1255.0,1212.0,909.0,755.0,554.0,1136.0
132,2020-03-26,36061,36061-2020-03-26,625,533,-0.0,586.0,619.0,530.0,317.0,399.0,653.0
133,2020-03-26,36081,36081-2020-03-26,1644,1232,56.0,1570.0,1389.0,1192.0,696.0,947.0,1185.0
134,2020-03-26,36085,36085-2020-03-26,405,319,9.0,394.0,350.0,209.0,317.0,248.0,310.0
136,2020-03-27,36005,36005-2020-03-27,1090,828,39.0,998.0,1068.0,927.0,730.0,495.0,491.0
135,2020-03-27,36047,36047-2020-03-27,1425,1069,44.0,1372.0,1255.0,1212.0,909.0,755.0,554.0
137,2020-03-27,36061,36061-2020-03-27,656,533,-1.0,625.0,586.0,619.0,530.0,317.0,399.0
138,2020-03-27,36081,36081-2020-03-27,1576,1288,36.0,1644.0,1570.0,1389.0,1192.0,696.0,947.0
139,2020-03-27,36085,36085-2020-03-27,372,328,2.0,405.0,394.0,350.0,209.0,317.0,248.0
141,2020-03-28,36005,36005-2020-03-28,761,867,29.0,1090.0,998.0,1068.0,927.0,730.0,495.0
140,2020-03-28,36047,36047-2020-03-28,863,1113,56.0,1425.0,1372.0,1255.0,1212.0,909.0,755.0
142,2020-03-28,36061,36061-2020-03-28,388,532,12.0,656.0,625.0,586.0,619.0,530.0,317.0
143,2020-03-28,36081,36081-2020-03-28,1201,1324,54.0,1576.0,1644.0,1570.0,1389.0,1192.0,696.0
144,2020-03-28,36085,36085-2020-03-28,265,330,-12.0,372.0,405.0,394.0,350.0,209.0,317.0
146,2020-03-29,36005,36005-2020-03-29,699,896,84.0,761.0,1090.0,998.0,1068.0,927.0,730.0
145,2020-03-29,36047,36047-2020-03-29,1149,1169,121.0,863.0,1425.0,1372.0,1255.0,1212.0,909.0
147,2020-03-29,36061,36061-2020-03-29,407,544,39.0,388.0,656.0,625.0,586.0,619.0,530.0
148,2020-03-29,36081,36081-2020-03-29,1075,1378,95.0,1201.0,1576.0,1644.0,1570.0,1389.0,1192.0
149,2020-03-29,36085,36085-2020-03-29,230,318,27.0,265.0,372.0,405.0,394.0,350.0,209.0
151,2020-03-30,36005,36005-2020-03-30,1315,980,50.0,699.0,761.0,1090.0,998.0,1068.0,927.0
150,2020-03-30,36047,36047-2020-03-30,1754,1290,43.0,1149.0,863.0,1425.0,1372.0,1255.0,1212.0
152,2020-03-30,36061,36061-2020-03-30,802,583,-0.0,407.0,388.0,656.0,625.0,586.0,619.0
153,2020-03-30,36081,36081-2020-03-30,1859,1473,61.0,1075.0,1201.0,1576.0,1644.0,1570.0,1389.0
154,2020-03-30,36085,36085-2020-03-30,398,345,-16.0,230.0,265.0,372.0,405.0,394.0,350.0
156,2020-03-31,36005,36005-2020-03-31,1282,1030,25.0,1315.0,699.0,761.0,1090.0,998.0,1068.0
155,2020-03-31,36047,36047-2020-03-31,1512,1333,48.0,1754.0,1149.0,863.0,1425.0,1372.0,1255.0
157,2020-03-31,36061,36061-2020-03-31,616,583,-2.0,802.0,407.0,388.0,656.0,625.0,586.0
158,2020-03-31,36081,36081-2020-03-31,1811,1534,30.0,1859.0,1075.0,1201.0,1576.0,1644.0,1570.0
159,2020-03-31,36085,36085-2020-03-31,237,329,-19.0,398.0,230.0,265.0,372.0,405.0,394.0
161,2020-04-01,36005,36005-2020-04-01,1240,1055,42.0,1282.0,1315.0,699.0,761.0,1090.0,998.0
160,2020-04-01,36047,36047-2020-04-01,1590,1381,34.0,1512.0,1754.0,1149.0,863.0,1425.0,1372.0
162,2020-04-01,36061,36061-2020-04-01,573,581,4.0,616.0,802.0,407.0,388.0,656.0,625.0
163,2020-04-01,36081,36081-2020-04-01,1781,1564,26.0,1811.0,1859.0,1075.0,1201.0,1576.0,1644.0
164,2020-04-01,36085,36085-2020-04-01,264,310,-5.0,237.0,398.0,230.0,265.0,372.0,405.0
166,2020-04-02,36005,36005-2020-04-02,1289,1097,51.0,1240.0,1282.0,1315.0,699.0,761.0,1090.0
165,2020-04-02,36047,36047-2020-04-02,1610,1415,2.0,1590.0,1512.0,1754.0,1149.0,863.0,1425.0
167,2020-04-02,36061,36061-2020-04-02,652,585,2.0,573.0,616.0,802.0,407.0,388.0,656.0
168,2020-04-02,36081,36081-2020-04-02,1826,1590,26.0,1781.0,1811.0,1859.0,1075.0,1201.0,1576.0
169,2020-04-02,36085,36085-2020-04-02,369,305,-4.0,264.0,237.0,398.0,230.0,265.0,372.0
171,2020-04-03,36005,36005-2020-04-03,1452,1148,36.0,1289.0,1240.0,1282.0,1315.0,699.0,761.0
170,2020-04-03,36047,36047-2020-04-03,1440,1417,8.0,1610.0,1590.0,1512.0,1754.0,1149.0,863.0
172,2020-04-03,36061,36061-2020-04-03,671,587,-0.0,652.0,573.0,616.0,802.0,407.0,388.0
173,2020-04-03,36081,36081-2020-04-03,1762,1616,1.0,1826.0,1781.0,1811.0,1859.0,1075.0,1201.0
174,2020-04-03,36085,36085-2020-04-03,345,301,12.0,369.0,264.0,237.0,398.0,230.0,265.0
176,2020-04-04,36005,36005-2020-04-04,1012,1184,18.0,1452.0,1289.0,1240.0,1282.0,1315.0,699.0
175,2020-04-04,36047,36047-2020-04-04,920,1425,-1.0,1440.0,1610.0,1590.0,1512.0,1754.0,1149.0
177,2020-04-04,36061,36061-2020-04-04,385,587,-8.0,671.0,652.0,573.0,616.0,802.0,407.0
178,2020-04-04,36081,36081-2020-04-04,1203,1617,8.0,1762.0,1826.0,1781.0,1811.0,1859.0,1075.0
179,2020-04-04,36085,36085-2020-04-04,345,313,13.0,345.0,369.0,264.0,237.0,398.0,230.0
181,2020-04-05,36005,36005-2020-04-05,822,1202,28.0,1012.0,1452.0,1289.0,1240.0,1282.0,1315.0
180,2020-04-05,36047,36047-2020-04-05,1144,1424,-42.0,920.0,1440.0,1610.0,1590.0,1512.0,1754.0
182,2020-04-05,36061,36061-2020-04-05,356,579,-11.0,385.0,671.0,652.0,573.0,616.0,802.0
183,2020-04-05,36081,36081-2020-04-05,1136,1625,10.0,1203.0,1762.0,1826.0,1781.0,1811.0,1859.0
184,2020-04-05,36085,36085-2020-04-05,323,326,47.0,345.0,345.0,369.0,264.0,237.0,398.0
186,2020-04-06,36005,36005-2020-04-06,1514,1230,26.0,822.0,1012.0,1452.0,1289.0,1240.0,1282.0
185,2020-04-06,36047,36047-2020-04-06,1461,1382,-16.0,1144.0,920.0,1440.0,1610.0,1590.0,1512.0
187,2020-04-06,36061,36061-2020-04-06,721,568,-2.0,356.0,385.0,671.0,652.0,573.0,616.0
188,2020-04-06,36081,36081-2020-04-06,1927,1635,20.0,1136.0,1203.0,1762.0,1826.0,1781.0,1811.0
189,2020-04-06,36085,36085-2020-04-06,730,373,56.0,323.0,345.0,345.0,369.0,264.0,237.0
191,2020-04-07,36005,36005-2020-04-07,1463,1256,9.0,1514.0,822.0,1012.0,1452.0,1289.0,1240.0
190,2020-04-07,36047,36047-2020-04-07,1397,1366,-41.0,1461.0,1144.0,920.0,1440.0,1610.0,1590.0
192,2020-04-07,36061,36061-2020-04-07,605,566,-4.0,721.0,356.0,385.0,671.0,652.0,573.0
193,2020-04-07,36081,36081-2020-04-07,1949,1655,11.0,1927.0,1136.0,1203.0,1762.0,1826.0,1781.0
194,2020-04-07,36085,36085-2020-04-07,630,429,43.0,730.0,323.0,345.0,345.0,369.0,264.0
196,2020-04-08,36005,36005-2020-04-08,1304,1265,-0.0,1463.0,1514.0,822.0,1012.0,1452.0,1289.0
195,2020-04-08,36047,36047-2020-04-08,1305,1325,-34.0,1397.0,1461.0,1144.0,920.0,1440.0,1610.0
197,2020-04-08,36061,36061-2020-04-08,546,562,-13.0,605.0,721.0,356.0,385.0,671.0,652.0
198,2020-04-08,36081,36081-2020-04-08,1857,1666,-38.0,1949.0,1927.0,1136.0,1203.0,1762.0,1826.0
199,2020-04-08,36085,36085-2020-04-08,562,472,-10.0,630.0,730.0,323.0,345.0,345.0,369.0
201,2020-04-09,36005,36005-2020-04-09,1285,1265,-33.0,1304.0,1463.0,1514.0,822.0,1012.0,1452.0
200,2020-04-09,36047,36047-2020-04-09,1369,1291,-42.0,1305.0,1397.0,1461.0,1144.0,920.0,1440.0
202,2020-04-09,36061,36061-2020-04-09,558,549,-25.0,546.0,605.0,721.0,356.0,385.0,671.0
203,2020-04-09,36081,36081-2020-04-09,1560,1628,-60.0,1857.0,1949.0,1927.0,1136.0,1203.0,1762.0
204,2020-04-09,36085,36085-2020-04-09,298,462,-6.0,562.0,630.0,730.0,323.0,345.0,345.0
206,2020-04-10,36005,36005-2020-04-10,1227,1232,-2.0,1285.0,1304.0,1463.0,1514.0,822.0,1012.0
205,2020-04-10,36047,36047-2020-04-10,1145,1249,30.0,1369.0,1305.0,1397.0,1461.0,1144.0,920.0
207,2020-04-10,36061,36061-2020-04-10,495,524,-12.0,558.0,546.0,605.0,721.0,356.0,385.0
208,2020-04-10,36081,36081-2020-04-10,1342,1568,-31.0,1560.0,1857.0,1949.0,1927.0,1136.0,1203.0
209,2020-04-10,36085,36085-2020-04-10,301,456,-5.0,298.0,562.0,630.0,730.0,323.0,345.0
211,2020-04-11,36005,36005-2020-04-11,998,1230,-8.0,1227.0,1285.0,1304.0,1463.0,1514.0,822.0
210,2020-04-11,36047,36047-2020-04-11,1131,1279,-63.0,1145.0,1369.0,1305.0,1397.0,1461.0,1144.0
212,2020-04-11,36061,36061-2020-04-11,304,512,-15.0,495.0,558.0,546.0,605.0,721.0,356.0
213,2020-04-11,36081,36081-2020-04-11,987,1537,-32.0,1342.0,1560.0,1857.0,1949.0,1927.0,1136.0
214,2020-04-11,36085,36085-2020-04-11,311,451,-10.0,301.0,298.0,562.0,630.0,730.0,323.0
216,2020-04-12,36005,36005-2020-04-12,763,1222,-117.0,998.0,1227.0,1285.0,1304.0,1463.0,1514.0
215,2020-04-12,36047,36047-2020-04-12,703,1216,-57.0,1131.0,1145.0,1369.0,1305.0,1397.0,1461.0
217,2020-04-12,36061,36061-2020-04-12,252,497,-47.0,304.0,495.0,558.0,546.0,605.0,721.0
218,2020-04-12,36081,36081-2020-04-12,916,1505,-136.0,987.0,1342.0,1560.0,1857.0,1949.0,1927.0
219,2020-04-12,36085,36085-2020-04-12,253,441,-78.0,311.0,301.0,298.0,562.0,630.0,730.0
221,2020-04-13,36005,36005-2020-04-13,693,1105,-56.0,763.0,998.0,1227.0,1285.0,1304.0,1463.0
220,2020-04-13,36047,36047-2020-04-13,1066,1159,-51.0,703.0,1131.0,1145.0,1369.0,1305.0,1397.0
222,2020-04-13,36061,36061-2020-04-13,393,450,-23.0,252.0,304.0,495.0,558.0,546.0,605.0
223,2020-04-13,36081,36081-2020-04-13,974,1369,-92.0,916.0,987.0,1342.0,1560.0,1857.0,1949.0
224,2020-04-13,36085,36085-2020-04-13,185,363,-49.0,253.0,311.0,301.0,298.0,562.0,630.0
226,2020-04-14,36005,36005-2020-04-14,1076,1049,-33.0,693.0,763.0,998.0,1227.0,1285.0,1304.0
225,2020-04-14,36047,36047-2020-04-14,1038,1108,-60.0,1066.0,703.0,1131.0,1145.0,1369.0,1305.0
227,2020-04-14,36061,36061-2020-04-14,440,427,-17.0,393.0,252.0,304.0,495.0,558.0,546.0
228,2020-04-14,36081,36081-2020-04-14,1300,1277,-97.0,974.0,916.0,987.0,1342.0,1560.0,1857.0
229,2020-04-14,36085,36085-2020-04-14,290,314,-35.0,185.0,253.0,311.0,301.0,298.0,562.0
231,2020-04-15,36005,36005-2020-04-15,1068,1016,-50.0,1076.0,693.0,763.0,998.0,1227.0,1285.0
230,2020-04-15,36047,36047-2020-04-15,882,1048,-69.0,1038.0,1066.0,703.0,1131.0,1145.0,1369.0
